source,date,site_id,arm,site_name,lat,lon,analyte,advisory_level,advisory_rank,data_type
BV Pomo,2024-06-10,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-06-25,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-07-10,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-08-06,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-08-20,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-09-04,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-09-18,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-10-02,AP01,L,Austin Park,38.9572,-122.6419,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-06-10,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-07-10,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-06,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-20,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-04,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-18,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-10-02,BP,L,Buckingham,38.9701,-122.6602,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-10,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-07-10,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-08-06,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-20,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-09-04,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-18,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-10-02,BVCL6,U,Big Valley Rancheria,39.0223,-122.7643,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-10,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-07-10,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-08-06,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-08-20,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-09-04,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-09-18,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-10-02,CL-1,U,Clear Lake Site 1,39.05,-122.8,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-06-10,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-06-25,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-07-10,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-06,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-08-20,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-09-04,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-09-18,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-10-02,CL-3,L,Clear Lake Site 3,38.98,-122.65,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-06-10,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-06-25,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-07-10,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-06,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-08-20,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-09-04,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-18,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-10-02,CL-4,O,Clear Lake Site 4,39.01,-122.83,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-06-10,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-07-10,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-08-06,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,DANGER,3,advisory_level
BV Pomo,2024-08-20,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-09-04,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-18,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-10-02,CLOAKS01,O,Clover/Oaks,39.005,-122.845,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-06-10,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-07-10,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,N/A,-1,advisory_level
BV Pomo,2024-08-06,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,WARNING,2,advisory_level
BV Pomo,2024-08-20,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-09-04,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-09-18,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-10-02,CLV7,U,Clear Lake Village 7,39.0419,-122.8018,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-10,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-06-25,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-07-10,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-08-06,CP,U,Cache Point,39.045,-122.79,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-08-20,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-09-04,CP,U,Cache Point,39.045,-122.79,Microcystins total,CAUTION,1,advisory_level
BV Pomo,2024-09-18,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
BV Pomo,2024-10-02,CP,U,Cache Point,39.045,-122.79,Microcystins total,NONE,0,advisory_level
