date,source,station_id,tmp_avg_c,tmp_max_c,tmp_min_c,rh_avg_pct,sol_rad_avg_wm2,wind_spd_avg_ms,wind_max_ms,wind_run_km,precip_mm,eto_mm,tmp_avg_7d,tmp_avg_14d,tmp_max_7d,wind_spd_7d,wind_spd_14d,wind_run_7d,sol_rad_7d,sol_rad_14d,precip_7d,precip_14d,eto_7d,rh_avg_7d,calm_days_7d
2017-01-01,Open-Meteo (Clear Lake coords),OM-CL,4.0,8.1,2.1,86.0,100.46,3.361,6.083,290.39,0.0,1.02,4.0,4.0,8.1,3.361,3.361,290.39,100.46,100.46,0.0,0.0,1.02,86.0,0
2017-01-02,Open-Meteo (Clear Lake coords),OM-CL,2.8,4.8,1.4,92.0,57.64,2.583,4.556,223.17,4.1,0.47,3.4,3.4,6.45,2.972,2.972,513.56,79.05,79.05,4.1,4.1,1.49,89.0,0
2017-01-03,Open-Meteo (Clear Lake coords),OM-CL,4.4,9.4,0.7,99.0,10.76,2.056,4.056,177.64,29.9,0.17,3.7333,3.7333,7.4333,2.6667,2.6667,691.2,56.2867,56.2867,34.0,34.0,1.66,92.3333,0
2017-01-04,Open-Meteo (Clear Lake coords),OM-CL,6.9,9.8,5.0,88.0,46.3,2.722,4.556,235.18,4.6,0.57,4.525,4.525,8.025,2.6805,2.6805,926.38,53.79,53.79,38.6,38.6,2.23,91.25,0
2017-01-05,Open-Meteo (Clear Lake coords),OM-CL,2.9,7.6,-0.8,80.0,118.29,1.389,2.111,120.01,0.0,1.11,4.2,4.2,7.94,2.4222,2.4222,1046.39,66.69,66.69,38.6,38.6,3.34,89.0,1
2017-01-06,Open-Meteo (Clear Lake coords),OM-CL,2.4,7.0,-1.9,74.0,92.13,1.778,3.417,153.62,0.1,1.17,3.9,3.9,7.7833,2.3148,2.3148,1200.01,70.93,70.93,38.7,38.7,4.51,86.5,2
2017-01-07,Open-Meteo (Clear Lake coords),OM-CL,5.3,11.2,1.7,96.0,15.05,2.5,5.333,216.0,20.7,0.28,4.1,4.1,8.2714,2.3413,2.3413,1416.01,62.9471,62.9471,59.4,59.4,4.79,87.8571,2
2017-01-08,Open-Meteo (Clear Lake coords),OM-CL,10.6,12.2,9.4,100.0,9.95,3.389,7.056,292.81,68.1,0.2,5.0429,4.9125,8.8571,2.3453,2.4722,1418.43,50.0171,56.3225,127.5,127.5,3.97,89.8571,2
2017-01-09,Open-Meteo (Clear Lake coords),OM-CL,7.5,9.7,5.6,95.0,61.0,3.861,5.306,333.59,14.3,0.59,5.7143,5.2,9.5571,2.5279,2.6266,1528.85,50.4971,56.8422,137.7,141.8,4.09,90.2857,2
2017-01-10,Open-Meteo (Clear Lake coords),OM-CL,9.0,10.7,7.5,99.0,9.84,4.333,6.806,374.37,46.4,0.19,6.3714,5.58,9.7429,2.8531,2.7972,1725.58,50.3657,52.142,154.2,188.2,4.11,90.2857,2
2017-01-11,Open-Meteo (Clear Lake coords),OM-CL,5.9,8.0,3.2,89.0,78.01,3.056,5.417,264.04,6.1,0.78,6.2286,5.6091,9.4857,2.9009,2.8207,1754.44,54.8957,54.4936,155.7,194.3,4.32,90.4286,2
2017-01-12,Open-Meteo (Clear Lake coords),OM-CL,4.6,6.7,3.0,94.0,47.57,0.972,2.222,83.98,5.8,0.54,6.4714,5.525,9.3571,2.8413,2.6667,1718.41,44.7929,53.9167,161.5,200.1,3.75,92.4286,2
2017-01-13,Open-Meteo (Clear Lake coords),OM-CL,5.5,13.1,1.1,86.0,111.0,0.889,1.556,76.81,0.0,1.24,6.9143,5.5231,10.2286,2.7143,2.5299,1641.6,47.4886,58.3077,161.4,200.1,3.82,94.1429,2
2017-01-14,Open-Meteo (Clear Lake coords),OM-CL,5.9,13.1,-0.2,76.0,122.22,0.75,1.444,64.8,0.0,1.37,7.0,5.55,10.5,2.4643,2.4028,1490.4,62.7986,62.8729,140.7,200.1,4.91,91.2857,3
2017-01-15,Open-Meteo (Clear Lake coords),OM-CL,6.3,12.6,1.2,82.0,119.1,1.278,2.306,110.42,0.0,1.29,6.3857,5.7143,10.5571,2.1627,2.254,1308.01,78.3914,64.2043,72.6,200.1,6.0,88.7143,4
2017-01-16,Open-Meteo (Clear Lake coords),OM-CL,7.5,15.7,1.6,79.0,119.44,1.056,1.944,91.24,0.1,1.44,6.3857,6.05,11.4143,1.762,2.1449,1065.66,86.74,68.6186,58.4,196.1,6.85,86.4286,5
2017-01-17,Open-Meteo (Clear Lake coords),OM-CL,6.3,11.3,3.3,80.0,104.75,1.639,2.889,141.61,0.3,1.14,6.0,6.1857,11.5,1.3771,2.1151,832.9,100.2986,75.3321,12.3,166.5,7.8,83.7143,6
2017-01-18,Open-Meteo (Clear Lake coords),OM-CL,6.2,7.9,4.7,92.0,20.72,2.778,4.528,240.02,42.0,0.3,6.0429,6.1357,11.4857,1.3374,2.1191,808.88,92.1143,73.505,48.2,203.9,7.32,84.1429,6
2017-01-19,Open-Meteo (Clear Lake coords),OM-CL,5.8,9.0,2.6,92.0,94.44,1.944,3.5,167.96,4.5,0.93,6.2143,6.3429,11.8143,1.4763,2.1588,892.86,98.81,71.8014,46.9,208.4,7.71,83.8571,6
2017-01-20,Open-Meteo (Clear Lake coords),OM-CL,5.6,7.5,3.8,95.0,74.54,3.417,6.278,295.23,40.4,0.7,6.2286,6.5714,11.0143,1.8374,2.2759,1111.28,93.6014,70.545,87.3,248.7,7.17,85.1429,5
2017-01-21,Open-Meteo (Clear Lake coords),OM-CL,6.1,9.3,4.0,90.0,84.26,3.861,5.056,333.59,11.7,0.9,6.2571,6.6286,10.4714,2.2819,2.3731,1380.07,88.1786,75.4886,99.0,239.7,6.7,87.1429,4
2017-01-22,Open-Meteo (Clear Lake coords),OM-CL,4.9,8.6,3.0,92.0,83.68,2.361,4.861,203.99,30.2,0.89,6.0571,6.2214,9.9,2.4366,2.2996,1473.64,83.1186,80.755,129.2,201.8,6.3,88.5714,3
2017-01-23,Open-Meteo (Clear Lake coords),OM-CL,4.1,7.5,0.3,90.0,111.11,1.667,4.056,144.03,2.1,1.0,5.5714,5.9786,8.7286,2.5239,2.1429,1526.43,81.9286,84.3343,131.2,189.6,5.86,90.1429,3
2017-01-24,Open-Meteo (Clear Lake coords),OM-CL,4.9,10.1,1.7,83.0,126.97,1.889,2.75,163.21,0.6,1.34,5.3714,5.6857,8.5571,2.5596,1.9684,1548.03,85.1029,92.7007,131.5,143.8,6.06,90.5714,3
