date,bloom_report_id,case_id,advisory_level,advisory_rank,advisory_active,advisory_detail,bloom_size,bloom_texture,bloom_location,lat,lon,lab_data_linked,has_pictures,county
2016-06-19,1421,37,None,0,1,,,,,39.0235,-122.77924,NO,No,Lake
2017-05-19,1530,100,None,0,1,,,,,39.019445,-122.68681,NO,Yes,Lake
2017-05-23,1533,100,None,0,1,,between a football field and a tennis court,,,39.0028,-122.7977,NO,Yes,Lake
2017-06-05,1541,100,None,0,1,,smaller than a sedan,,,38.948856,-122.66023,NO,No,Lake
2017-06-18,1563,100,None,0,0,,larger than a football field,,,38.948856,-122.66023,NO,No,Lake
2017-06-18,1564,100,None,0,0,,between a football field and a tennis court,,,39.01929,-122.67514,NO,No,Lake
2017-07-08,1588,100,Danger,4,1,,,,,38.9159888,-122.59472,NO,Yes,Lake
2017-07-16,1566,100,None,0,1,,smaller than a sedan,,,38.94884,-122.68957,NO,No,Lake
2017-08-11,1631,100,Warning,3,0,,larger than a football field,,,39.054491,-122.83721,NO,Yes,Lake
2017-09-11,1688,100,None,0,1,,between a tennis court and a sedan,,,39.0250735,-122.65978,NO,No,Lake
2018-01-23,1708,178,None,0,1,,,,,39.042359,-122.91287,NO,No,Lake
2018-01-23,1709,178,None,0,1,,,,,39.026872,-122.88674,NO,No,Lake
2018-01-23,1710,178,None,0,1,,,,,39.003128,-122.79816,NO,No,Lake
2018-01-23,1711,178,None,0,1,,,,,39.000958,-122.75073,NO,No,Lake
2018-01-23,1712,178,None,0,1,,,,,38.962911,-122.73113,NO,No,Lake
2018-01-23,1713,178,None,0,1,,,,,38.925467,-122.61659,NO,No,Lake
2018-01-23,1714,178,None,0,1,,,,,38.95983,-122.65027,NO,No,Lake
2018-01-23,1715,178,None,0,1,,,,,39.0094,-122.67383,NO,No,Lake
2018-01-23,1716,178,None,0,1,,,,,39.01929,-122.67514,NO,No,Lake
2018-01-23,1717,178,None,0,1,,,,,39.026636,-122.7348,NO,No,Lake
2018-01-23,1718,178,None,0,1,,,,,39.089696,-122.79611,NO,No,Lake
2018-01-23,1719,178,None,0,1,,,,,39.0632,-122.86611,NO,No,Lake
2018-01-23,1720,178,None,0,1,,,,,38.9643,-122.67888,NO,No,Lake
2018-01-23,1721,178,None,0,1,,,,,39.0116,-122.69611,NO,No,Lake
2018-04-18,1724,178,None,0,1,,smaller than a sedan,,,39.019445,-122.68681,NO,Yes,Lake
2018-06-04,1759,178,None,0,1,,,,,39.011864,-122.76051,NO,No,Lake
2018-06-04,1760,178,None,0,1,,,,,39.0287,-122.84863,NO,No,Lake
2018-06-04,1761,178,None,0,1,,,,,39.063888,-122.91361,NO,No,Lake
2018-06-04,1762,178,None,0,1,,,,,39.118142,-122.88643,NO,No,Lake
2018-06-04,1763,178,None,0,1,,,,,39.121277,-122.85554,NO,No,Lake
2018-06-04,1764,178,None,0,1,,,,,38.948472,-122.63778,NO,No,Lake
2018-06-04,1765,178,None,0,1,,,,,38.99986,-122.6712,NO,No,Lake
2019-01-23,1892,288,None,0,1,,,,,39.000958,-122.75073,NO,No,Lake
2019-01-23,1893,288,None,0,1,,,,,39.003128,-122.79816,NO,No,Lake
2019-01-23,1894,288,None,0,1,,,,,39.0287,-122.84863,NO,No,Lake
2019-01-23,1895,288,None,0,1,,,,,39.026872,-122.88674,NO,No,Lake
2019-01-23,1896,288,None,0,1,,,,,39.042359,-122.91287,NO,No,Lake
2019-01-23,1897,288,None,0,1,,,,,39.121277,-122.85554,NO,No,Lake
2019-01-23,1898,288,None,0,1,,,,,39.089696,-122.79611,NO,No,Lake
2019-01-23,1899,288,None,0,1,,,,,39.01929,-122.67514,NO,No,Lake
2019-01-23,1900,288,None,0,1,,,,,39.0094,-122.67383,NO,No,Lake
2019-01-23,1901,288,None,0,1,,,,,38.95983,-122.65027,NO,No,Lake
2019-01-23,1902,288,None,0,1,,,,,38.925467,-122.61659,NO,No,Lake
2019-01-23,1903,288,None,0,1,,,,,39.0632,-122.86611,NO,No,Lake
2019-01-23,1904,288,None,0,1,,,,,38.9643,-122.67888,NO,No,Lake
2019-01-23,1905,288,None,0,1,,,,,39.0116,-122.69611,NO,No,Lake
2019-01-23,1906,288,None,0,1,,,,,39.1149,-122.88277,NO,No,Lake
2019-05-10,1907,288,None,0,1,,,,,38.99986,-122.6712,NO,No,Lake
2019-05-10,1908,288,None,0,1,,,,,38.948472,-122.63778,NO,No,Lake
2019-05-10,1909,288,None,0,1,,,,,39.118142,-122.88643,NO,No,Lake
