RESULT ID UNIQUE,Result_ID,Bloom_Report_ID,Case_Assignment,Case_ID,Number_of_Blooms_Linked_to_Case,Report_Type,Water_Body_Name,Official_Water_Body_Name,Landmark,County,Regional_Water_Board,Bloom_Latitude,Bloom_Longitude,Bloom_Datum,Reported_Management_Organizations,DDW_District_Office,Drinking_Water_Source,Water_Body_Manager,Rec_Land_Manager,Water_Body_Use,Water_Body_Type,Bloom_Location,Bloom_Size,Bloom_Texture,Bloom_Type,Datum,Latitude,Longitude,Measurement_Type,Measurement_Unit,Measurement_Value,Proposed_Lab_Analyses,Results_Date,Sample_Date,Sample_ID,Sample_Location,Data_Type,Site,Taxa,Water_Surface_Condition,Weather_Condition,Analysis_Type,Method,Analyte_Class,Analyte,Sample_Type
F1,1,1436,,20,1,,klamath River,Klamath Glen Hydrologic Subarea,Klamath River from Weitchpec to Tully Creek,Humboldt,Region 1 - North Coast,41.199566,-123.75348,,North Coast Regional Water Quality Control Board,,unknown,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F2,2,1432,,21,5,,klamath River,Klamath Glen Hydrologic Subarea,Klamath River,Siskiyou,Region 1 - North Coast,42.0072,-122.18879,,Regional Board,,unknown,Other,Other,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F3,3,1451,Existing Case,21,5,Public Reporting,klamath River,Klamath Glen Hydrologic Subarea,"Klamath River, below Iron Gate (KRBI)",Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F4,4,1455,Existing Case,21,5,Agency/Partner Reporting,klamath River,Klamath Glen Hydrologic Subarea,multiple locations from Iron Gate to Orleans,Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F5,5,1452,Existing Case,21,5,Public Reporting,klamath River,Klamath Glen Hydrologic Subarea,"Klamath River, below Iron Gate (KRBI)",Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F6,6,1500,Existing Case,21,5,Agency/Partner Reporting,klamath River,Klamath Glen Hydrologic Subarea,multiple locations from Iron Gate to Orleans,Humboldt,Region 1 - North Coast,41.307133,-123.5311,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F7,7,1456,,22,4,Public Reporting,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F8,8,1462,,22,4,,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,,North Coast Regional Water Quality Control Board,,Yes,Unknown,Unknown,,Reservoir,,larger than a football field,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F9,9,1499,,22,4,Public Reporting,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F10,10,1502,,22,4,Public Reporting,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F11,11,1438,,23,2,,Quarry Lakes,Alameda Creek Quarry ponds,,Alameda,Region 2 - San Francisco Bay,37.572387,-122.00109,,EBRPs,,unknown,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F12,12,1423,,23,2,,Quarry Lakes,Alameda Creek Quarry ponds,Quarry Lakes,Alameda,Region 2 - San Francisco Bay,37.572387,-122.00109,,East Bay Regional Parks,,unknown,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F13,13,1547,,24,1,,Lake Almaden,Almaden Reservoir,Lake Almaden,Santa Clara,Region 2 - San Francisco Bay,37.241355,-121.87268,,City of San Jose,,No,Valley Water,City Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F14,14,1425,,25,1,Public Reporting,Arroyo Valle,Arroyo del Valle,Arroyo Valle upstream of Shadow Cliffs Regional Park,Alameda,Region 2 - San Francisco Bay,37.6684618,-121.84425,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F27,27,1457,,36,3,Public Reporting,Big Break Regional Shoreline,Big Break,Big Break Regional Shoreline,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,,Region 5,,,Unknown,Unknown,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F15,15,1424,,26,2,,Lake del Valle,Del Valle Reservoir,Lake del Valle,Alameda,Region 2 - San Francisco Bay,37.597211,-121.72118,,East Bay Regional Parks,,yes,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F16,16,1507,,26,2,,Lake Del Valle,Del Valle Reservoir,Lake Del Valle,Alameda,Region 2 - San Francisco Bay,37.586436,-121.70371,,East Bay Regional Park District,,Yes,Other,East Bay Regional Park District,,Reservoir,,no bloom,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F17,17,1496,,27,1,,Laguna Lake,Laguna Lake,Laguna Lake,San Luis Obispo,Region 3 - Central Coast,35.2669192,-120.68628,WGS84,Central Coast Regional Water Quality Control Board,,No,City Department,City Department,,Reservoir,,larger than a football field,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F32,32,1486,,39,1,,Fabian Canal,Fabian and Bell Canal,Fabian Canal Site along Grant Line Canal,San Joaquin,Region 5 - Central Valley,37.81911,-121.51217,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F33,33,1483,,40,3,Public Reporting,Grant Line Canal,Grant Line Canal,Grant Line Canal (Tracy Oasis Marina-off dock site),San Joaquin,Region 5 - Central Valley,37.81929,-121.46058,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F18,18,1426,,28,1,Public Reporting,Lake Anza,Lake Anza,Lake Anza,Contra Costa,Region 2 - San Francisco Bay,37.896029,-122.25034,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F19,19,1439,,29,1,,Lake Anza,Lake Anza,,Contra Costa,Region 2 - San Francisco Bay,37.896029,-122.25034,,,,unknown,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F20,20,1427,,30,1,Public Reporting,Lake Chabot,Lake Chabot (Alameda),Lake Chabot (Alameda Co),Alameda,Region 2 - San Francisco Bay,37.726948,-122.11221,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F34,34,1484,,40,3,,Grant Line Canal,Grant Line Canal,Grant Line Canal (Site GLC),San Joaquin,Region 5 - Central Valley,37.81969,-121.54513,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F21,21,1440,,31,1,,Lake Temescal,Lake Temescal,Lake Temescal,Alameda,Region 2 - San Francisco Bay,37.846563,-122.23053,,EBRP,,unknown,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F22,22,1443,,32,1,,Kelly Lake,Kelley Lake,Kelly Lake,Santa Cruz,Region 3 - Central Coast,36.9397603,-121.73538,,Central Coast Water Board,,unknown,Private entity,Private entity,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F23,23,1441,,33,1,,Pinto Lake,Pinto Lake,Pinto Lake,Santa Cruz,Region 3 - Central Coast,36.9502299,-121.76606,,Central Coast Water Board,,no,Unknown,City Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F35,35,1485,,40,3,,Grant Line Canal,Grant Line Canal,Grant Line Canal,San Joaquin,Region 5 - Central Valley,37.82024,-121.46621,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F36,36,1504,,41,2,Public Reporting,Lake Isabella,Lake Isabella,Lake Isabella and Keyesville Recreation Area (Kern River),Kern,Region 5 - Central Valley,35.647189,-118.47583,,Central Valley Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F24,24,1503,,34,1,,El Dorado East Regional Park,El Dorado Lakes,"El Dorado East Regional Park, Long Beach",Los Angeles,Region 4 - Los Angeles,33.81544,-118.0854,,SWRCB,,No,City Department,City Department,,Reservoir,,larger than a football field,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F25,25,1417,,35,1,,Pyramid Lake,Pyramid Lake,Pyramid Lake,Los Angeles,Region 4 - Los Angeles,34.662758,-118.76556,,DWR,,no,California Department of Water Resources,California Department of Water Resources,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F26,26,1437,,36,3,,Big Break Regional Shoreline,Big Break,,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,,Region 5,,no,Unknown,East Bay Regional Park District,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F28,28,1460,,36,3,,Big Break Regional Shoreline,Big Break,,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,,Region 5,,no,East Bay Regional Park District,East Bay Regional Park District,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F29,29,1421,,37,1,,Clear Lake,Clear Lake,Clear Lake,Lake,Region 5 - Central Valley,39.0235,-122.77924,,Central Valley Water Board,,yes,Private entity,County Environmental Health Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F30,30,1418,,38,2,,Discovery Bay,Discovery Bay,Discovery Bay,Contra Costa,Region 5 - Central Valley,37.9016022,-121.62036,,Central Valley Water Board,,no,City Department,City Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F31,31,1454,,38,2,Public Reporting,Discovery Bay,Discovery Bay,Discovery Bay - Multiple Locations Within Entire Bay,Contra Costa,Region 5 - Central Valley,37.903073,-121.59045,,Region 5,,,Unknown,Unknown,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F37,37,1505,,41,2,Public Reporting,Lake Isabella,Lake Isabella,Lake Isabella and Keyesville Recreation Area (Kern River),Kern,Region 5 - Central Valley,35.647189,-118.47583,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F38,38,1422,,42,1,,Lake Oroville,Lake Oroville,Lake Oroville,Butte,Region 5 - Central Valley,39.557213,-121.41005,,Central Valley Water Board,,unknown,California Department of Water Resources,California Department of Water Resources,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F39,39,1477,,43,11,,Old River,Old River,Old River (Rivers End Marina),San Joaquin,Region 5 - Central Valley,37.80983,-121.55994,,Central Valley Regional Water Quality Control Board,,Unknown,California Department of Water Resources,Unknown,,Wadeable stream,,between a tennis court and a sedan,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F40,40,1482,,43,11,,Old River,Old River,Old River at Doughty Cut (Site name DGL),San Joaquin,Region 5 - Central Valley,37.81502,-121.42519,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F41,41,1476,,43,11,,Old River,Old River,Old River (Kings Island),San Joaquin,Region 5 - Central Valley,37.85822,-121.56839,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F42,42,1479,,43,11,,Old River,Old River,Old River (ODM Site),San Joaquin,Region 5 - Central Valley,37.81092,-121.54536,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F43,43,1487,,43,11,,Old River,Old River,Old River at Clifton Court Forebay Intake,San Joaquin,Region 5 - Central Valley,37.83017,-121.55357,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F44,44,1478,,43,11,,Old River,Old River,Old River at the Delta Mendota Canal Intake,San Joaquin,Region 5 - Central Valley,37.81686,-121.55701,,Central Valley Regional Water Quality Control Board,,Unknown,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F45,45,1488,,43,11,,Old River,Old River,Old River Downstream of ODM site,San Joaquin,Region 5 - Central Valley,37.81411,-121.5508,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F46,46,1480,,43,11,,Old River,Old River,Old River (Upstream of Mountain House) site ORM,San Joaquin,Region 5 - Central Valley,37.79494,-121.51991,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F47,47,1489,,43,11,,Old River,Old River,Old River Upstream off ORM site,San Joaquin,Region 5 - Central Valley,37.78707,-121.5017,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F48,48,1490,,43,11,,Old River,Old River,Old River Upstream of DGL site,San Joaquin,Region 5 - Central Valley,37.80964,-121.41196,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F49,49,1481,,43,11,,Old River,Old River,Old River - Tracy Wildlife Area (Site TWA),San Joaquin,Region 5 - Central Valley,37.80263,-121.45738,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F50,50,1430,,44,1,,O'Neill Forebay,O'Neill Reservoir,O'Neill Forebay,Merced,Region 5 - Central Valley,37.069512,-121.06711,,DWR,,yes,United States Bureau of Reclamation,California State Parks,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
